"word","definition"
"strany","The guillemot."
"nataloin","A bitter crystalline substance constituting the essential principle of Natal aloes. Cf. Aloon."
"vacuity","Want of reality; inanity; nihility."
"choir","A band or organized company of singers, especially in church service."""
"baleful","Full of deadly or pernicious influence; destructive."
"soaring","of Soar"
"recruit","Hence, to restore the wasted vigor of; to renew in strength or health; to reinvigorate."""
"overmatch","To be more than equal to or a match for; hence, to vanquish."""
"kidney","Habit; disposition; sort; kind."
"implosion","A sudden compression of the air in the mouth, simultaneously with and affecting the sound made by the closure of the organs in uttering p, t, or k, at the end of a syllable (see Guide to Pronunciation, //159, 189); also, a similar compression made by an upward thrust of the larynx without any accompanying explosive action, as in the peculiar sound of b, d, and g, heard in Southern Germany."""
"nonacceptance","A neglect or refusal to accept."
"excerptor","One who makes excerpts; a picker; a culler."
"pauperization","The act or process of reducing to pauperism."
"underworld","The portion of the world which is below the horizon; the opposite side of the world; the antipodes."
"bachelor","A kind of bass, an edible fresh-water fish (Pomoxys annularis) of the southern United States."""
"sexlocular","Having six cells for seeds; six-celled; as, a sexlocular pericarp."""
"inexpected","Unexpected."
"hail-fellow","An intimate companion."
"sucket","A sweetmeat; a dainty morsel."
"driving","of Drive"
"scattered","of Scatter"
"oyster-green","A green membranous seaweed (Ulva) often found growing on oysters but common on stones, piles, etc."""
"anarchism","The doctrine or practice of anarchists."
"drink","To smoke, as tobacco."""
"restringency","Quality or state of being restringent; astringency."
"live","To be maintained in life; to acquire a livelihood; to subsist; -- with on or by; as, to live on spoils."""
"gelding","from Geld, v. t."""
"unwish","To wish not to be; to destroy by wishing."
"wed","A pledge; a pawn."
"gambler","One who gambles."
"gneissose","Having the structure of gneiss."
"homelily","Plainly; inelegantly."
"torsional","Of or pertaining to torsion; resulting from torsion, or the force with which a thread or wire returns to a state of rest after having been twisted round its axis; as, torsional force."""
"galliard","A gay, lively dance. Cf. Gailliarde."""
"federalize","To unite in compact, as different States; to confederate for political purposes; to unite by or under the Federal Constitution."""
"plank","To cover or lay with planks; as, to plank a floor or a ship."""
"muley","See Mulley."
"housebote","Wood allowed to a tenant for repairing the house and for fuel. This latter is often called firebote. See Bote."
"chrysaurin","An orange-colored dyestuff, of artificial production."""
"subscribing","of Subscribe"
"tackle","To fasten or attach, as with a tackle; to harness; as, to tackle a horse into a coach or wagon."""
"haggard","A fierce, intractable creature."""
"duct","One of the vessels of an animal body by which the products of glandular secretion are conveyed to their destination."
"spadices","of Spadix"
"quarterpace","A platform of a staircase where the stair turns at a right angle only. See Halfpace."
"windward","Situated toward the point from which the wind blows; as, the Windward Islands."""
"trental","Hence, a dirge; an elegy."""
"lafayette","A market fish, the goody, or spot (Liostomus xanthurus), of the southern coast of the United States."""
"reside","To have a seat or fixed position; to inhere; to lie or be as in attribute or element."
"smee","The pintail duck."
"inconstantly","In an inconstant manner."
"vacuation","The act of emptying; evacuation."
"libeled","of Libel"
"graticulation","The division of a design or draught into squares, in order the more easily to reproduce it in larger or smaller dimensions."""
"supertemporal","That which is more than temporal; that which is eternal."
"gastroepiploic","Of or pertaining to the stomach and omentum."
"inobservance","Want or neglect of observance."
"rush","A perfect recitation."
"overempty","To make too empty; to exhaust."
"planetarium","An orrery. See Orrery."
"cradle","The basket or apparatus in which, when a line has been made fast to a wrecked ship from the shore, the people are brought off from the wreck."""
"unbreech","To free the breech of, as a cannon, from its fastenings or coverings."""
"crownet","A coronet."
"boroughmongery","The practices of a boroughmonger."
"mummification","The act of making a mummy."
"serenade","To entertain with a serenade."
"phloretic","Pertaining to, or derived from, or designating, an organic acid obtained by the decomposition of phloretin."""
"niggle","To trifle or play."
"lighten","To make light or clear; to light; to illuminate; as, to lighten an apartment with lamps or gas; to lighten the streets."""
"iciness","The state or quality of being icy or very cold; frigidity."
"opening","The act or process of opening; a beginning; commencement; first appearance; as, the opening of a speech."""
"irreconcile","To prevent from being reconciled; to alienate or disaffect."
"assientist","A shareholder of the Assiento company; one of the parties to the Assiento contract."
"orthostichy","A longitudinal rank, or row, of leaves along a stem."""
"ending","The final syllable or letter of a word; the part joined to the stem. See 3d Case, 5."""
"kainozoic","See Cenozoic."
"exemplar","A copy of a book or writing."
"amoebian","One of the Amoebea."
"ruthful","Pitiful; tender."
"unicorn","A fabulous animal with one horn; the monoceros; -- often represented in heraldry as a supporter."
"army","A body of persons organized for the advancement of a cause; as, the Blue Ribbon Army."""
"mix","To form by mingling; to produce by the stirring together of ingredients; to compound of different parts."
"astheny","Want or loss of strength; debility; diminution of the vital forces."
"haemato-","See Haema-."
"utilizable","Capable of being utilized; as, the utilizable products of the gas works."""
"mounter","One who mounts."
"equibalance","To make of equal weight; to balance equally; to counterbalance; to equiponderate."
"thrummed","of Thrum"
"digressively","By way of digression."
"black-a-vised","Dark-visaged; swart."
"webfoot","A foot the toes of which are connected by a membrane."
"diuturnity","Long duration; lastingness."
"ordinary","That which is so common, or continued, as to be considered a settled establishment or institution."""
"coag","See Coak, a kind of tenon."""
"anchorage","Something which holds like an anchor; a hold; as, the anchorages of the Brooklyn Bridge."""
"pulverulent","Consisting of, or reducible to, fine powder; covered with dust or powder; powdery; dusty."""
"current","General course; ordinary procedure; progressive and connected movement; as, the current of time, of events, of opinion, etc."""
"condensated","of Condensate"
"abirritation","A pathological condition opposite to that of irritation; debility; want of strength; asthenia."
"scutelliform","Having the form of a scutellum."
"repair","Place to which one repairs; a haunt; a resort."
"figurehead","The figure, statue, or bust, on the prow of a ship."""
"admonitorial","Admonitory."
"minute","A very small part of anything, or anything very small; a jot; a tittle."""
"chuckle","To fondle; to cocker."
"ceroma","The unguent (a composition of oil and wax) with which wrestlers were anointed among the ancient Romans."
"ablaqueation","The act or process of laying bare the roots of trees to expose them to the air and water."
"chamois","A soft leather made from the skin of the chamois, or from sheepskin, etc.; -- called also chamois leather, and chammy or shammy leather. See Shammy."""
"replication","An answer; a reply."
"saccharinic","Of, pertaining to, or derived from, saccharin; specifically, designating a complex acid not known in the free state but well known in its salts, which are obtained by boiling dextrose and levulose (invert sugar) with milk of lime."""
"aphidian","Of or pertaining to the family Aphidae."
"nankeen","A species of cloth, of a firm texture, originally brought from China, made of a species of cotton (Gossypium religiosum) that is naturally of a brownish yellow color quite indestructible and permanent."""
"exuding","of Exude"
"conveyor","A contrivance for carrying objects from place to place; esp., one for conveying grain, coal, etc., -- as a spiral or screw turning in a pipe or trough, an endless belt with buckets, or a truck running along a rope."""
"eagle","A northern constellation, containing Altair, a star of the first magnitude. See Aquila."""
"stang","In land measure, a pole, rod, or perch."""
"nautili","of Nautilus"
"culvertail","Dovetail."
"viper","A dangerous, treacherous, or malignant person."""
"airwards","Toward the air; upward."
"remasticate","To chew or masticate again; to chew over and over, as the cud."""
"transpiration","The act or process of transpiring or excreting in the form of vapor; exhalation, as through the skin or other membranes of the body; as, pulmonary transpiration, or the excretion of aqueous vapor from the lungs. Perspiration is a form of transpiration."""
"thalamus","Same as Thallus."
"mutuality","The quality of correlation; reciprocation; interchange; interaction; interdependence."
"cartoonist","One skilled in drawing cartoons."
"snuffbox","A small box for carrying snuff about the person."
"celebrate","To perform or participate in, as a sacrament or solemn rite; to solemnize; to perform with appropriate rites; as, to celebrate a marriage."""
"libel","A malicious publication expressed either in print or in writing, or by pictures, effigies, or other signs, tending to expose another to public hatred, contempt, or ridicule. Such publication is indictable at common law."""
"through","Going or extending through; going, extending, or serving from the beginning to the end; thorough; complete; as, a through line; a through ticket; a through train. Also, admitting of passage through; as, a through bridge."""
"mole","A mass of fleshy or other more or less solid matter generated in the uterus."
"belted","of Belt"
"erythrogen","A substance reddened by acids, which is supposed to be contained in flowers."""
"radeau","A float; a raft."
"equipoise","Equality of weight or force; hence, equilibrium; a state in which the two ends or sides of a thing are balanced, and hence equal; state of being equally balanced; -- said of moral, political, or social interests or forces."""
"church-bench","A seat in the porch of a church."
"czechic","Of or pertaining to the Czechs."
"resuscitating","of Resuscitate"
"muffle","A pulley block containing several sheaves."
"distracted","of Distract"
"impetrated","of Impetrate"
"metrograph","An instrument attached to a locomotive for recording its speed and the number and duration of its stops."
"demijohn","A glass vessel or bottle with a large body and small neck, inclosed in wickerwork."""
"incommunicated","Not communicated or imparted."
"lithy","Easily bent; pliable."
"spalt","Spelter."
"mediative","Pertaining to mediation; used in mediation; as, mediative efforts."""
"titlark","Any one of numerous small spring birds belonging to Anthus, Corydalla, and allied genera, which resemble the true larks in color and in having a very long hind claw; especially, the European meadow pipit (Anthus pratensis)."""
"incoact","Alt. of Incoacted"
"adjunct","A word or words added to quality or amplify the force of other words; as, the History of the American Revolution, where the words in italics are the adjunct or adjuncts of """"History."""""""
"scopulous","Full of rocks; rocky."
"attal","Same as Attle."
"gourdworm","The fluke of sheep. See Fluke."
"forum","A market place or public place in Rome, where causes were judicially tried, and orations delivered to the people."""
"landlocked","Confined to a fresh-water lake by reason of waterfalls or dams; -- said of fishes that would naturally seek the sea, after spawning; as, the landlocked salmon."""
"erysipelous","Erysipelatous."
"gyb","Alt. of Gybe"
"equitableness","The quality of being equitable, just, or impartial; as, the equitableness of a judge, a decision, or distribution of property."""
"lexicographer","The author or compiler of a lexicon or dictionary."
"tabular","Arranged in a schedule; as, tabular statistics."""
"decillionth","Pertaining to a decillion, or to the quotient of unity divided by a decillion."""
"immatchable","Matchless; peerless."
"ocherous","Alt. of Ochreous"
"unruinated","Not ruined or destroyed."
"downpour","A pouring or streaming downwards; esp., a heavy or continuous shower."""
"alvei","of Alveus"
"argolic","Pertaining to Argolis, a district in the Peloponnesus."""
"euripize","To whirl hither and thither."
"pennoncelle","See Pencel."
"rugin","A nappy cloth."
"whinock","The small pig of a litter."
"plat","To lay out in plats or plots, as ground."""
"insinuative","Stealing on or into the confidence or affections; having power to gain favor."
"whim","A large capstan or vertical drum turned by horse power or steam power, for raising ore or water, etc., from mines, or for other purposes; -- called also whim gin, and whimsey."""
"bousy","Drunken; sotted; boozy."
"inducting","of Induct"
"vendibility","The quality or state of being vendible, or salable."""
"matchlock","An old form of gunlock containing a match for firing the priming; hence, a musket fired by means of a match."""
"base","The lower part of a complete architectural design, as of a monument; also, the lower part of any elaborate piece of furniture or decoration."""
"unencumber","To free from incumbrance; to disencumber."
"tyros","of Tyro"
"machicolation","The act of discharging missiles or pouring burning or melted substances upon assailants through such apertures."
"position","Relative place or standing; social or official rank; as, a person of position; hence, office; post; as, to lose one's position."""
"oxybenzene","Hydroxy benzene. Same as Phenol."
"conquest","That which is conquered; possession gained by force, physical or moral."""
"painstaker","One who takes pains; one careful and faithful in all work."
"fastly","Firmly; surely."
"improved","of Improve"
"choule","See Jowl."
"passion","To give a passionate character to."
"tail","One of the strips at the end of a bandage formed by splitting the bandage one or more times."
"leveler","One who would remove social inequalities or distinctions; a socialist."
"restored","of Restore"
"self-reproof","The act of reproving one's self; censure of one's conduct by one's own judgment."
"sarpo","A large toadfish of the Southern United States and the Gulf of Mexico (Batrachus tau, var. pardus)."""
"serve","To pass or spend, as time, esp. time of punishment; as, to serve a term in prison."""
"interchangement","Mutual transfer; exchange."
"instability","Lack of determination of fixedness; inconstancy; fickleness; mutability; changeableness; as, instability of character, temper, custom, etc."""
"displeasure","That which displeases; cause of irritation or annoyance; offense; injury."
"bouge","To scoop out with a gouge."
"sunsetting","The descent of the sun below the horizon; also, the time when the sun sets; evening. Also used figuratively."""
"turbulent","Producing commotion; disturbing; exciting."
"embrace","To clasp in the arms with affection; to take in the arms; to hug."
"palestrae","of Palestra"
"sombrely","In a somber manner; sombrously; gloomily; despondingly."
"hyades","Alt. of Hyads"
"commerce","The exchange or buying and selling of commodities; esp. the exchange of merchandise, on a large scale, between different places or communities; extended trade or traffic."""
"converse","Familiar discourse; free interchange of thoughts or views; conversation; chat."
"bestirring","of Bestir"
"float","The trowel or tool with which the floated coat of plastering is leveled and smoothed."
"hydropic","Alt. of Hydropical"
"station","A state of standing or rest; equilibrium."
"inning","The state or turn of being in; specifically, in cricket, baseball, etc.,the turn or time of a player or of a side at the bat; -- often in the pl. Hence: The turn or time of a person, or a party, in power; as, the Whigs went out, and the Democrats had their innings."""
"mind","To occupy one's self with; to employ one's self about; to attend to; as, to mind one's business."""
"djerrid","A game played with it."
"scleragogy","Severe discipline."
"desolate","To make desolate; to leave alone; to deprive of inhabitants; as, the earth was nearly desolated by the flood."""
"scout","To observe, watch, or look for, as a scout; to follow for the purpose of observation, as a scout."""
"pasigraphical","Of or pertaining to pasigraphy."
"disenchanting","of Disenchant"
"lapponic","Laplandish; Lappish."
"subashdar","A viceroy; a governor of a subah; also, a native captain in the British native army."""
"scarus","A Mediterranean food fish (Sparisoma scarus) of excellent quality and highly valued by the Romans; -- called also parrot fish."
"robust","Requiring strength or vigor; as, robust employment."""
"see","Specifically: (a) The seat of episcopal power; a diocese; the jurisdiction of a bishop; as, the see of New York. (b) The seat of an archibishop; a province or jurisdiction of an archibishop; as, an archiepiscopal see. (c) The seat, place, or office of the pope, or Roman pontiff; as, the papal see. (d) The pope or his court at Rome; as, to appeal to the see of Rome."""
"penetrative","Having the power to affect or impress the mind or heart; impressive; as, penetrative shame."""
"alone","Solely; simply; exclusively."
"extreme","Radical; ultra; as, extreme opinions."""
"rapfully","Violently."
"abler","superl. of Able."
"nirvana","In the Buddhist system of religion, the final emancipation of the soul from transmigration, and consequently a beatific enfrachisement from the evils of wordly existence, as by annihilation or absorption into the divine. See Buddhism."""
"ftiction","A clashing between two persons or parties in opinions or work; a disagreement tending to prevent or retard progress."
"morceau","A bit; a morsel."
"rummage","To search or examine thoroughly by looking into every corner, and turning over or removing goods or other things; to examine, as a book, carefully, turning over leaf after leaf."""
"dentized","of Dentize"
"tranquilizer","Alt. of Tranquillizer"
"jack","A flag, containing only the union, without the fly, usually hoisted on a jack staff at the bowsprit cap; -- called also union jack. The American jack is a small blue flag, with a star for each State."""
"element","To compound of elements or first principles."
"paleechinoidea","An extinct order of sea urchins found in the Paleozoic rocks. They had more than twenty vertical rows of plates. Called also Palaeechini."
"happily","By chance; peradventure; haply."
"struggle","To labor in pain or anguish; to be in agony; to labor in any kind of difficulty or distress."
"meek","Alt. of Meeken"
"signature","A letter or figure placed at the bottom of the first page of each sheet of a book or pamphlet, as a direction to the binder in arranging and folding the sheets."""
"thrum-eyed","Having the anthers raised above the stigma, and visible at the throat of the corolla, as in long-stamened primroses; -- the reverse of pin-eyed."""
"hypotarsus","A process on the posterior side of the tarsometatarsus of many birds; the calcaneal process."
"stadimeter","A horizontal graduated bar mounted on a staff, used as a stadium, or telemeter, for measuring distances."""
"platform","To place on a platform."
"incicurable","Untamable."
"refuting","of Refute"
"spindleworm","The larva of a noctuid mmoth (Achatodes zeae) which feeds inside the stalks of corn (maize), sometimes causing much damage. It is smooth, with a black head and tail and a row of black dots across each segment."""
"dedecorate","To bring to shame; to disgrace."
"parietary","Any one of several species of Parietaria. See 1st Pellitory."
"excurrent","Running or flowing out"
"altitude","The perpendicular distance from the base of a figure to the summit, or to the side parallel to the base; as, the altitude of a triangle, pyramid, parallelogram, frustum, etc."""
"lugworm","A large marine annelid (Arenicola marina) having a row of tufted gills along each side of the back. It is found burrowing in sandy beaches, both in America and Europe, and is used for bait by European fishermen. Called also lobworm, and baitworm."""
"footed","Having a foot or feet; shaped in the foot."
"patter","To spatter; to sprinkle."
"advancing","of Advance"
"reentrant","Reentering; pointing or directed inwardds; as, a re/ntrant angle."""
"sophister","To maintain by sophistry, or by a fallacious argument."""
"capellet","A swelling, like a wen, on the point of the elbow (or the heel of the hock) of a horse, caused probably by bruises in lying down."""
"perficient","One who performs or perfects a work; especially, one who endows a charity."""
"rase","To be leveled with the ground; to fall; to suffer overthrow."
"meconinic","Pertaining to, or designating, an acid which occurs in opium, and which may be obtained by oxidizing narcotine."""
"episcopally","By episcopal authority; in an episcopal manner."
"hire","To procure (any chattel or estate) from another person, for temporary use, for a compensation or equivalent; to purchase the use or enjoyment of for a limited time; as, to hire a farm for a year; to hire money."""
"remord","To excite to remorse; to rebuke."
"wrest","To tune with a wrest, or key."""
"coopery","Relating to a cooper; coopered."
"toward","Ready to act; forward; bold; valiant."
"ratlines","Alt. of Ratlins"
"fibrination","The state of acquiring or having an excess of fibrin."
"discuss","To break up; to disperse; to scatter; to dissipate; to drive away; -- said especially of tumors."
"dispart","To make allowance for the dispart in (a gun), when taking aim."""
"circular","repeating itself; ending in itself; reverting to the point of beginning; hence, illogical; inconclusive; as, circular reasoning."""
"necessary","Impossible to be otherwise, or to be dispensed with, without preventing the attainment of a desired result; indispensable; requiste; essential."""
"beating","Pulsation; throbbing; as, the beating of the heart."""
"enstamp","To stamp; to mark as /ith a stamp; to impress deeply."
"warm","To make engaged or earnest; to interest; to engage; to excite ardor or zeal; to enliven."
"minionly","Like a minion; daintily."
"milling","The act or employment of grinding or passing through a mill; the process of fulling; the process of making a raised or intented edge upon coin, etc.; the process of dressing surfaces of various shapes with rotary cutters. See Mill."""
"thrush","Any one of numerous species of singing birds more or less resembling the true thrushes in appearance or habits; as the thunderbird and the American brown thrush (or thrasher). See Brown thrush."
"complaint","Cause or subject of complaint or murmuring."
"coefficiency","Joint efficiency; cooperation."
"celsius","The Celsius thermometer or scale, so called from Anders Celsius, a Swedish astronomer, who invented it. It is the same as the centigrade thermometer or scale."""
"bounce","A heavy, sudden, and often noisy, blow or thump."""
"swizzle","Ale and beer mixed; also, drink generally."""
"funiculi","of Funiculus"
"bush","To set bushes for; to support with bushes; as, to bush peas."""
"montanist","A follower of Mintanus, a Phrygian enthusiast of the second century, who claimed that the Holy Spirit, the Paraclete, dwelt in him, and employed him as an instrument for purifying and guiding men in the Christian life."""
"deprecation","Entreaty for pardon; petitioning."
"bright","Manifest to the mind, as light is to the eyes; clear; evident; plain."""
"polymnite","A stone marked with dendrites and black lines, and so disposed as to represent rivers, marshes, etc."""
"chatter","To make a noise by rapid collisions."
"exergue","The small space beneath the base line of a subject engraved on a coin or medal. It usually contains the date, place, engraver's name, etc., or other subsidiary matter."""
"sisel","The suslik."
"blushless","Free from blushes; incapable of blushing; shameless; impudent."
"decoy","A person employed by officers of justice, or parties exposed to injury, to induce a suspected person to commit an offense under circumstances that will lead to his detection."""
"sylph","Any one of several species of very brilliant South American humming birds, having a very long and deeply-forked tail; as, the blue-tailed sylph (Cynanthus cyanurus)."""
"treble","The highest of the four principal parts in music; the part usually sung by boys or women; soprano."
"harden","To become hard or harder; to acquire solidity, or more compactness; as, mortar hardens by drying."""
"shallow","To make shallow."
"malodor","An Offensive to the sense of smell; ill-smelling."
"philadelphian","One of a society of mystics of the seventeenth century, -- called also the Family of Love."""
"expertly","In a skillful or dexterous manner; adroitly; with readiness and accuracy."
"lacerated","of Lacerate"
"short","Breaking or crumbling readily in the mouth; crisp; as, short pastry."""
"diplomacy","The art and practice of conducting negotiations between nations (particularly in securing treaties), including the methods and forms usually employed."""
"concept","An abstract general conception; a notion; a universal."
"fussy","Making a fuss; disposed to make an unnecessary ado about trifles; overnice; fidgety."
"coehorn","A small bronze mortar mounted on a wooden block with handles, and light enough to be carried short distances by two men."""
"gulp","A disgorging."
"tandem","One after another; -- said especially of horses harnessed and driven one before another, instead of abreast."""
"squirehood","The rank or state of a squire; squireship."
"warning","Caution against danger, or against faults or evil practices which incur danger; admonition; monition."""
"venule","A small vein; a veinlet; specifically (Zool.), one of the small branches of the veins of the wings in insects."""
"percarbide","A compound containing a relatively large amount of carbon."
"lentoid","Having the form of a lens; lens-shaped."
"biauriculate","Having two earlike projections at its base, as a leaf."""
"symphony","A stringed instrument formerly in use, somewhat resembling the virginal."""
"dispark","To throw (a park or inclosure); to treat (a private park) as a common."
"leatheret","Alt. of Leatherette"
"decamped","of Decamp"
"prolocutor","The presiding officer of a convocation."
"toupet","A little tuft; a curl or artificial lock of hair."
"fur","The soft, downy covering on the skin of a peach."""
"frock","A coarse gown worn by monks or friars, and supposed to take the place of all, or nearly all, other garments. It has a hood which can be drawn over the head at pleasure, and is girded by a cord."""
"armadillo","Any edentate animal if the family Dasypidae, peculiar to America. The body and head are incased in an armor composed of small bony plates. The armadillos burrow in the earth, seldom going abroad except at night. When attacked, they curl up into a ball, presenting the armor on all sides. Their flesh is good food. There are several species, one of which (the peba) is found as far north as Texas. See Peba, Poyou, Tatouay."""
"gravenstein","A kind of fall apple, marked with streaks of deep red and orange, and of excellent flavor and quality."""
"optocoelia","The cavity of one of the optic lobes of the brain in many animals."
"contradictory","Affirming the contrary; implying a denial of what has been asserted; also, mutually contradicting; inconsistent."""
"frisure","The dressing of the hair by crisping or curling."
"forth","Forward; onward in time, place, or order; in advance from a given point; on to end; as, from that day forth; one, two, three, and so forth."""
"muzzling","of Muzzle"
"rest","To cease from action or motion, especially from action which has caused weariness; to desist from labor or exertion."""
"comicalities","of Comicality"
"buoy","To support or sustain; to preserve from sinking into ruin or despondency."
"tricrotous","Tricrotic."
"necessitattion","The act of making necessary, or the state of being made necessary; compulsion."""
"pyroarsenate","A salt of pyroarsenic acid."
"foot","A measure of length equivalent to twelve inches; one third of a yard. See Yard."
"pausing","of Pause"
"work","To cause to ferment, as liquor."""
"kelson","See Keelson."
"foretaster","One who tastes beforehand, or before another."""
"anarchic","Alt. of Anarchical"
"rustle","To cause to rustle; as, the wind rustles the leaves."""
"choriambi","of Choriambus"
"petrous","Same as Petrosal."
"trammeled","Having blazes, or white marks, on the fore and hind foot of one side, as if marked by trammels; -- said of a horse."""
"steeping","of Steep"
"thermomultiplier","Same as Thermopile."
"will","To exercise an act of volition; to choose; to decide; to determine; to decree."
"wring","A writhing, as in anguish; a twisting; a griping."""
"etym","See Etymon."
"gain","To reach; to attain to; to arrive at; as, to gain the top of a mountain; to gain a good harbor."""
"planet-stricken","Alt. of Planet-struck"
"glycogenesis","The production or formation of sugar from gycogen, as in the liver."""
"strumous","Scrofulous; having struma."
"annotatory","Pertaining to an annotator; containing annotations."
"oxeye","The corn camomile (Anthemis arvensis)."
"differ","To be of unlike or opposite opinion; to disagree in sentiment; -- often with from or with."
"significative","Betokening or representing by an external sign."
"leer","Complexion; aspect; appearance."
"delitigation","Chiding; brawl."
"accusingly","In an accusing manner."
"prosecution","The institution and carrying on of a suit in a court of law or equity, to obtain some right, or to redress and punish some wrong; the carrying on of a judicial proceeding in behalf of a complaining party, as distinguished from defense."""
"skilligalee","A kind of thin, weak broth or oatmeal porridge, served out to prisoners and paupers in England; also, a drink made of oatmeal, sugar, and water, sometimes used in the English navy or army."""
"misopinion","Wrong opinion."
"wriggle","To move with short, quick contortions; to move by twisting and squirming; like a worm."""
"pestilential","Having the nature or qualities of a pestilence."
"hetchel","Same as Hatchel."
"waveringly","In a wavering manner."
"annullable","That may be Annulled."
"overlord","One who is lord over another or others; a superior lord; a master."
"rook","A trickish, rapacious fellow; a cheat; a sharper."""
"chariness","The quality of being chary."
"mitigable","Admitting of mitigation; that may be mitigated."
"legacy","A business with which one is intrusted by another; a commission; -- obsolete, except in the phrases last legacy, dying legacy, and the like."""
"ingenuity","Openness of heart; ingenuousness."
"evacuation","The act of emptying, clearing of the contents, or discharging."""
"heart","Vigorous and efficient activity; power of fertile production; condition of the soil, whether good or bad."""
"singularity","Celibacy."
"woody","Consisting of, or containing, wood or woody fiber; ligneous; as, the woody parts of plants."""
"confederated","of Confederate"
"caudicle","Alt. of Caudicula"
"retract","To draw back; to draw up; as, muscles retract after amputation."""
"formidableness","The quality of being formidable, or adapted to excite dread."""
"near","Closely; intimately."
"laugh","To express by, or utter with, laughter; -- with out."""
"tri/cia","The third order of the Linnaean class Polygamia."
"freighter","One employed in receiving and forwarding freight."
"faculae","Groups of small shining spots on the surface of the sun which are brighter than the other parts of the photosphere. They are generally seen in the neighborhood of the dark spots, and are supposed to be elevated portions of the photosphere."""
"tamperer","One who tampers; one who deals unfairly."
"thunderstone","A thunderbolt, -- formerly believed to be a stone."""
"cockswain","The steersman of a boat; a petty officer who has charge of a boat and its crew."
"impracticability","The state or quality of being impracticable; infeasibility."
"plumming","The operation of finding, by means of a mine dial, the place where to sink an air shaft, or to bring an adit to the work, or to find which way the lode inclines."""
"model","A miniature representation of a thing, with the several parts in due proportion; sometimes, a facsimile of the same size."""
"by-law","A law that is less important than a general law or constitutional provision, and subsidiary to it; a rule relating to a matter of detail; as, civic societies often adopt a constitution and by-laws for the government of their members. In this sense the word has probably been influenced by by, meaning secondary or aside."""
"fill","To possess and perform the duties of; to officiate in, as an incumbent; to occupy; to hold; as, a king fills a throne; the president fills the office of chief magistrate; the speaker of the House fills the chair."""
"laicality","The state or quality of being laic; the state or condition of a layman."
"indecisive","Not decisive; not bringing to a final or ultimate issue; as, an indecisive battle, argument, answer."""
"rally","To use pleasantry, or satirical merriment."""
"joint","The part or space included between two joints, knots, nodes, or articulations; as, a joint of cane or of a grass stem; a joint of the leg."""
"propitiatory","Having the power to make propitious; pertaining to, or employed in, propitiation; expiatory; as, a propitiatory sacrifice."""
"perquisite","Something gained from a place or employment over and above the ordinary salary or fixed wages for services rendered; especially, a fee allowed by law to an officer for a specific service."""
"inside","Adapted to the interior."
"reform","To return to a good state; to amend or correct one's own character or habits; as, a man of settled habits of vice will seldom reform."""
"overrent","To rent for too much."
"correction","The act of correcting, or making that right which was wrong; change for the better; amendment; rectification, as of an erroneous statement."""
"gobline","One of the ropes or chains serving as stays for the dolphin striker or the bowsprit; -- called also gobrope and gaubline."
"positive","Prescribed by express enactment or institution; settled by arbitrary appointment; said of laws."
"shear","To separate or sever with shears or a similar instrument; to cut off; to clip (something) from a surface; as, to shear a fleece."""
"picking","That which is, or may be, picked or gleaned."""
"dureless","Not lasting."
"laciniae","of Lacinia"
"lobby","A confined place for cattle, formed by hedges. trees, or other fencing, near the farmyard."""
"explode","To become suddenly expanded into a great volume of gas or vapor; to burst violently into flame; as gunpowder explodes."
"diacodium","A sirup made of poppies."
"endogenous","Originating from within; increasing by internal growth."
"circumjacence","Condition of being circumjacent, or of bordering on every side."""
"sturb","To disturb."
"snypy","Like a snipe."
"friable","Easily crumbled, pulverized, or reduced to powder."""
"chimb","Chime."
"illiteracies","of Illiteracy"
"packmen","of Packman"
"level","A line or surface to which, at every point, a vertical or plumb line is perpendicular; a line or surface which is everywhere parallel to the surface of still water; -- this is the true level, and is a curve or surface in which all points are equally distant from the center of the earth, or rather would be so if the earth were an exact sphere."""
"decree","A decision, order, or sentence, given in a cause by a court of equity or admiralty."""
"contrariety","The state or quality of being contrary; opposition; repugnance; disagreement; antagonism."
"dub","To prepare for fighting, as a gamecock, by trimming the hackles and cutting off the comb and wattles."""
"wrong","Twisted; wry; as, a wrong nose."""
"hank","Hold; influence."
"dodge","To follow by dodging, or suddenly shifting from place to place."""
"crisp","To make crisp or brittle, as in cooking."""
"degeneration","A gradual deterioration, from natural causes, of any class of animals or plants or any particular organ or organs; hereditary degradation of type."""
"gypsy","A cunning or crafty person"
"ecclesiasticus","A book of the Apocrypha."
"thunder","To emit with noise and terror; to utter vehemently; to publish, as a threat or denunciation."""
"comb","To roll over, as the top or crest of a wave; to break with a white foam, as waves."""
"oarsmen","of Oarsman"
"pomposities","of Pomposity"
"armory","A manufactory of arms, as rifles, muskets, pistols, bayonets, swords."""
"polytheize","To adhere to, advocate, or inculcate, the doctrine of polytheism."""
"lin","A steep ravine."
"neaped","Left aground on the height of a spring tide, so that it will not float till the next spring tide; -- called also beneaped."""
"overreach","To strike the toe of the hind foot against the heel or shoe of the forefoot; -- said of horses."
"torrock","A gull."
"morone","Maroon; the color of an unripe black mulberry."
"prophetic","Alt. of Prophetical"
"overturn","To turn or throw from a basis, foundation, or position; to overset; as, to overturn a carriage or a building."""
"green","The color of growing plants; the color of the solar spectrum intermediate between the yellow and the blue."
"replevy","To bail."
"sporiferous","Bearing or producing spores."
"paced","of Pace"
